host_species,color
Acropora sp1,#F8766D
Acropora sp10,#F47B5B
Acropora sp11,#EF7F47
Acropora sp2,#E9842C
Acropora sp3,#E38800
Acropora sp4,#DD8D00
Acropora sp5,#D69100
Acropora sp6,#CE9500
Acropora sp7,#C59900
Acropora sp8,#BC9D00
Acropora sp9,#B2A100
Galaxea sp1,#A7A400
Montipora sp1,#9CA700
acuta,#8EAB00
aequituberculata,#80AE00
annularis,#6FB000
astreoides,#5AB300
auretenra,#3DB500
capitata,#00B813
cavernosa,#00BA38
compressa,#00BB4F
cubensis,#00BD61
cylindrus,#00BE71
cytherea,#00BF80
daedalea,#00C08E
damicornis,#00C19B
fascicularis,#00C1A8
fastigiata,#00C0B4
faveolata,#00C0BF
fragum,#00BECA
franksi,#00BDD4
gemmifera,#00BBDD
humilis,#00B8E6
hyacinthus,#00B5EE
intersepta,#00B1F5
labyrinthiformis,#00ACFB
lamarcki,#00A7FF
lamellosa,#32A2FF
lobata,#619CFF
meandrina,#7F96FF
meandrites,#978FFF
mesatarina,#AB88FF
mesenterina,#BC81FF
muricata,#CA7AFF
palmata,#D774FD
patula,#E26EF7
pharensis,#EB69F0
phrygia,#F265E8
porites,#F863DF
purpurea,#FC61D5
rus,#FF61CB
siderea,#FF62BF
strigosa,#FF64B3
varians,#FF66A7
varicosa,#FF6A9A
verrucosa,#FE6E8C
yongei,#FB727D
