,host_phylum,host_order,host_genus,host_species,missed_on_run,predicted_label
0,Cnidaria,Scleractinia,Oculina,varicosa,coral_only_pruned_rf_RandomForest,0
1,Cnidaria,Corallimorpharia,,,coral_only_pruned_rf_RandomForest,1
2,Cnidaria,Zoantharia,Parazoanthus,swiftii,coral_only_pruned_rf_RandomForest,1
3,Porifera,Poecilosclerida,Desmapsamma,anchorata,coral_only_pruned_rf_XGBoost,1
4,Porifera,Haplosclerida,Niphates,erecta,coral_only_pruned_rf_XGBoost,1
5,Porifera,Poecilosclerida,Monanchora,barbadensis,coral_only_pruned_rf_XGBoost,1
6,Cnidaria,Actiniaria,Condylactis,gigantea,coral_only_pruned_rf_XGBoost,1
7,Cnidaria,Antipatharia,,,coral_only_pruned_rf_XGBoost,1
8,Rhodophyta,Corallinales,,,coral_only_pruned_rf_XGBoost,1
9,Cnidaria,Scleractinia,Oculina,varicosa,coral_only_pruned_gb_RandomForest,0
10,Cnidaria,Scleractinia,Oculina,varicosa,coral_only_pruned_gb_RandomForest,0
11,Cnidaria,Scleractinia,Oculina,varicosa,coral_only_pruned_gb_RandomForest,0
12,Cnidaria,Scleractinia,Pavona,,coral_only_pruned_gb_XGBoost,0
13,Cnidaria,Scleractinia,Oculina,varicosa,coral_only_pruned_gb_XGBoost,0
14,Cnidaria,Scleractinia,Oculina,varicosa,coral_only_pruned_gb_XGBoost,0
15,Cnidaria,Zoantharia,,,coral_only_pruned_gb_XGBoost,1
16,Cnidaria,Actiniaria,Bartholomea,annulata,coral_only_pruned_gb_XGBoost,1
17,Cnidaria,Scleractinia,Oculina,varicosa,coral_only_FULL_XGBoost,0
18,Cnidaria,Scleractinia,Oculina,varicosa,all_pruned_rfgb_RandomForest,0
19,Cnidaria,Scleractinia,Oculina,varicosa,all_pruned_rfgb_RandomForest,0
20,Cnidaria,Scleractinia,Oculina,varicosa,all_pruned_rfgb_RandomForest,0
21,Cnidaria,Scleractinia,Oculina,varicosa,all_pruned_rfgb_RandomForest,0
22,Cnidaria,Scleractinia,Oculina,varicosa,all_pruned_rfgb_RandomForest,0
23,Cnidaria,Scleractinia,Oculina,varicosa,all_pruned_rfgb_XGBoost,0
24,Cnidaria,Antipatharia,,,all_pruned_rfgb_XGBoost,1
25,Cnidaria,Scleractinia,Oculina,varicosa,all_FULL_RandomForest,0
26,Cnidaria,Scleractinia,Oculina,varicosa,all_FULL_XGBoost,0
