"term","Df","SumOfSqs","R2","F","Pr"
"coral_status",1,5.84504482238445,0.0517701883925345,24.8960806948013,0.001
"location",2,18.7026639325686,0.165651498774367,45.1678356415924,0.001
"host_phylum",0,0,0,0,NA
"host_class",2,4.58544228683602,0.040613753746332,9.63077072802596,0.001
"host_order",6,11.3533805265651,0.100558108040758,8.40367549621847,0.001
"host_genus",33,62.0933634120087,0.549967574150172,15.7016464542144,0.001
"host_species",64,72.4508075237913,0.641704566632873,10.9978155943796,0.001
"bleaching",1,8.42192888955174,0.0745939267344672,36.7566537259551,0.001
"symbiont.potential",1,21.1644857238541,0.187456118207841,105.200459714545,0.001
